antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
HERB MARKER THYME,HERB MARKER PARSLEY | HERB MARKER ROSEMARY,0.011986041571840389,0.010873413240277146,0.010266525059424467,0.8565400843881856,78.77380041212835,0.010136195876298706,6.89479414888395
HERB MARKER PARSLEY | HERB MARKER ROSEMARY,HERB MARKER THYME,0.010873413240277146,0.011986041571840389,0.010266525059424467,0.9441860465116279,78.77380041212834,0.010136195876298706,17.701916755171176
HERB MARKER PARSLEY | HERB MARKER THYME,HERB MARKER ROSEMARY,0.010772265210135032,0.012137763617053559,0.010266525059424467,0.9530516431924883,78.51954225352112,0.010135773850683639,21.041465634956754
HERB MARKER ROSEMARY,HERB MARKER PARSLEY | HERB MARKER THYME,0.012137763617053559,0.010772265210135032,0.010266525059424467,0.8458333333333332,78.51954225352112,0.010135773850683639,6.4166123337720915
HERB MARKER ROSEMARY,HERB MARKER BASIL | HERB MARKER THYME,0.012137763617053559,0.010620543164921864,0.010114803014211297,0.8333333333333333,78.4642857142857,0.009985893371790762,5.936276741010466
HERB MARKER BASIL | HERB MARKER THYME,HERB MARKER ROSEMARY,0.010620543164921864,0.012137763617053559,0.010114803014211297,0.9523809523809522,78.4642857142857,0.009985893371790762,20.745106964041803
HERB MARKER BASIL | HERB MARKER ROSEMARY,HERB MARKER THYME,0.010822839225206089,0.011986041571840389,0.010114803014211297,0.9345794392523364,77.97231752040696,0.009985080013332632,15.102499078830439
HERB MARKER THYME,HERB MARKER BASIL | HERB MARKER ROSEMARY,0.011986041571840389,0.010822839225206089,0.010114803014211297,0.8438818565400843,77.97231752040695,0.009985080013332632,6.336080732530433
HERB MARKER THYME,HERB MARKER ROSEMARY,0.011986041571840389,0.012137763617053559,0.011176857330703484,0.9324894514767932,76.8254746835443,0.011031373591400308,14.632709376422381
HERB MARKER ROSEMARY,HERB MARKER THYME,0.012137763617053559,0.011986041571840389,0.011176857330703484,0.9208333333333332,76.82547468354429,0.011031373591400308,12.480176316987254
HERB MARKER PARSLEY,HERB MARKER ROSEMARY | HERB MARKER THYME,0.012036615586911445,0.011176857330703484,0.010266525059424467,0.8529411764705882,76.31314878892734,0.010131993524265036,6.723997370151214
HERB MARKER ROSEMARY | HERB MARKER THYME,HERB MARKER PARSLEY,0.011176857330703484,0.012036615586911445,0.010266525059424467,0.9185520361990951,76.31314878892734,0.010131993524265036,12.129994886405152
HERB MARKER PARSLEY,HERB MARKER THYME,0.012036615586911445,0.011986041571840389,0.010772265210135032,0.8949579831932772,74.66668439527709,0.01062799383532605,9.405892884236074
HERB MARKER THYME,HERB MARKER PARSLEY,0.011986041571840389,0.012036615586911445,0.010772265210135032,0.8987341772151898,74.66668439527709,0.01062799383532605,9.756138421079239
HERB MARKER PARSLEY,HERB MARKER ROSEMARY,0.012036615586911445,0.012137763617053559,0.010873413240277146,0.9033613445378151,74.42568277310924,0.010727315645533872,10.222226619962665
HERB MARKER ROSEMARY,HERB MARKER PARSLEY,0.012137763617053559,0.012036615586911445,0.010873413240277146,0.8958333333333333,74.42568277310923,0.010727315645533872,9.484448490365644
HERB MARKER BASIL,HERB MARKER ROSEMARY | HERB MARKER THYME,0.01223891164719567,0.011176857330703484,0.010114803014211297,0.8264462809917356,73.94263490520176,0.009978010444847507,5.697504774427852
HERB MARKER ROSEMARY | HERB MARKER THYME,HERB MARKER BASIL,0.011176857330703484,0.01223891164719567,0.010114803014211297,0.9049773755656109,73.94263490520176,0.009978010444847507,10.395009548855702
HERB MARKER MINT,HERB MARKER PARSLEY,0.012137763617053559,0.012036615586911445,0.010721691195063976,0.8833333333333332,73.38718487394956,0.010575593600320702,8.468257580683606
HERB MARKER PARSLEY,HERB MARKER MINT,0.012036615586911445,0.012137763617053559,0.010721691195063976,0.8907563025210083,73.38718487394956,0.010575593600320702,9.04273893304389
HERB MARKER ROSEMARY,HERB MARKER BASIL,0.012137763617053559,0.01223891164719567,0.010822839225206089,0.8916666666666666,72.85506198347107,0.010674286208702425,9.117794661718188
HERB MARKER BASIL,HERB MARKER ROSEMARY,0.01223891164719567,0.012137763617053559,0.010822839225206089,0.8842975206611571,72.85506198347107,0.010674286208702425,8.537952185881183
HERB MARKER BASIL,HERB MARKER PARSLEY,0.01223891164719567,0.012036615586911445,0.010721691195063976,0.8760330578512396,72.78067921383429,0.010574376120364508,7.9695713009322455
HERB MARKER PARSLEY,HERB MARKER BASIL,0.012036615586911445,0.01223891164719567,0.010721691195063976,0.8907563025210083,72.78067921383429,0.010574376120364508,9.041813039537203
HERB MARKER ROSEMARY,HERB MARKER MINT,0.012137763617053559,0.012137763617053559,0.010721691195063976,0.8833333333333332,72.77562499999999,0.010574365889440506,8.467390597568102
